Position,Artist Name,Song Name,Days Song Released,Top 10 (xTimes),Peak Position,Number of times in Peak Position,Peak Streams,Total Streams,Total of all streams,Percentage of Total streams,,,
3336,Marshmello ,OK Not To Be OK,24,0,17,0,649004,7061813,2.02936E+11,0.003479823,,,
3337,Tayler Buono ,Technically Single,36,0,87,0,229170,7058610,2.02936E+11,0.003478245,,,
3338,Ozuna ,La Modelo,33,0,113,0,267248,7057200,2.02936E+11,0.00347755,,,
3339,Kid Cudi ,Another Day,11,0,17,0,1867656,7043521,2.02936E+11,0.00347081,,,
3340,Fetty Wap ,Jugg,63,0,71,0,179871,7039432,2.02936E+11,0.003468795,,,
3341,Benson Boone ,In The Stars,23,0,31,0,524916,7036482,2.02936E+11,0.003467341,,,
3342,Megan Thee Stallion ,Plan B,21,1,5,0,722250,7032482,2.02936E+11,0.00346537,,,
3343,Skrillex ,Don’t Go,21,0,15,0,768038,7031200,2.02936E+11,0.003464738,,,
3344,Suki Waterhouse ,Good Looking,22,0,56,0,417080,7030386,2.02936E+11,0.003464337,,,
3345,M City JR ,Addicted to My Ex,49,0,106,0,174081,7028634,2.02936E+11,0.003463474,,,
3346,Martin Garrix ,Don't Look Down,56,0,45,0,200461,7026837,2.02936E+11,0.003462588,,,
3347,"Tyler, The Creator ",PUPPET,14,0,11,0,1381337,7024881,2.02936E+11,0.003461624,,,
3348,blink,182  Bored To Death,40,0,36,0,431709,7018071,2.02936E+11,0.003458269,,,
3349,Lil Pump ,Drug Addicts,23,0,66,0,427240,7017731,2.02936E+11,0.003458101,,,
3350,Nessa Barrett ,i hope ur miserable until ur dead,26,0,52,0,385926,7012779,2.02936E+11,0.003455661,,,
3351,Logic ,Warm It Up,16,0,18,0,1058260,6999699,2.02936E+11,0.003449216,,,
3352,Metro Boomin ,Dreamcatcher,19,0,20,0,823387,6993448,2.02936E+11,0.003446135,,,
3353,XXXTENTACION ,Orlando,24,0,54,0,538995,6991353,2.02936E+11,0.003445103,,,
3354,Justin Bieber ,Honest,17,0,13,0,837170,6991266,2.02936E+11,0.00344506,,,
3355,21 Savage ,3AM on Glenwood,11,0,17,0,1794802,6986835,2.02936E+11,0.003442877,,,
3356,Adele ,All Night Parking,13,1,10,0,1432666,6985895,2.02936E+11,0.003442413,,,
3357,Mabel ,Mad Love,28,0,92,0,348127,6984545,2.02936E+11,0.003441748,,,
3358,Polo G ,GNF (OKOKOK),24,0,16,0,607909,6974871,2.02936E+11,0.003436981,,,
3359,"Tyler, The Creator ","GONE, GONE / THANK YOU",15,0,12,0,1213023,6969054,2.02936E+11,0.003434115,,,
3360,Yeat ,Rich Minion,20,0,22,0,592989,6965369,2.02936E+11,0.003432299,,,
3361,2 Chainz ,Whip,19,0,18,0,860566,6962085,2.02936E+11,0.003430681,,,
3362,Harry Styles ,"Sunflower, Vol. 6",16,0,15,0,1079377,6948043,2.02936E+11,0.003423761,,,
3363,NF ,CLOUDS,23,0,13,0,588698,6947881,2.02936E+11,0.003423681,,,
3364,Loote ,High Without Your Love,39,0,112,0,216702,6947609,2.02936E+11,0.003423547,,,
3365,J. Cole ,Snow On Tha Bluff,16,3,1,1,1469240,6947322,2.02936E+11,0.003423406,,,
3366,Chance the Rapper ,Smoke Break,44,0,120,0,217952,6945155,2.02936E+11,0.003422338,,,
3367,Bad Bunny ,Soliá,16,0,23,0,852194,6944359,2.02936E+11,0.003421946,,,
3368,Monsieur Periné ,Nuestra Canción,24,0,42,0,404745,6938660,2.02936E+11,0.003419138,,,
3369,BTS ,ON,17,0,25,0,654623,6932738,2.02936E+11,0.003416219,,,
3370,Mac Miller ,Woods,13,0,16,0,1383227,6930615,2.02936E+11,0.003415173,,,
3371,Megan Thee Stallion ,Don’t Stop,25,0,43,0,563393,6906809,2.02936E+11,0.003403443,,,
3372,Lil Yachty ,Yacht Club,23,0,58,0,507159,6905802,2.02936E+11,0.003402946,,,
3373,Eminem ,Em Calls Paul  Skit,13,0,14,0,1267119,6903697,2.02936E+11,0.003401909,,,
3374,BlocBoy JB ,Rover 2.0,28,0,76,0,365939,6898786,2.02936E+11,0.003399489,,,
3375,Morgan Wallen ,Tennessee Fan,13,0,11,0,1304477,6897594,2.02936E+11,0.003398902,,,
3376,Drake ,Jungle,49,0,23,0,293985,6895499,2.02936E+11,0.003397869,,,
3377,Kanye West ,New Again,12,0,21,0,1322284,6891489,2.02936E+11,0.003395893,,,
3378,Lynyrd Skynyrd ,Sweet Home Alabama,27,0,32,0,442939,6886801,2.02936E+11,0.003393583,,,
3379,Pusha T ,If You Know You Know,20,0,17,0,840937,6884959,2.02936E+11,0.003392676,,,
3380,Post Malone ,Insane,15,0,13,0,1059392,6883955,2.02936E+11,0.003392181,,,
3381,Khalid ,Self,19,0,40,0,715230,6877607,2.02936E+11,0.003389053,,,
3382,Carrie Underwood ,Something in the Water,106,0,90,0,108504,6872633,2.02936E+11,0.003386602,,,
3383,YNW Melly ,Mind of Melvin,23,0,48,0,409577,6857077,2.02936E+11,0.003378936,,,
3384,Migos ,Supastars,18,1,6,0,1278764,6849599,2.02936E+11,0.003375251,,,
3385,Billie Eilish ,Lo Vas A Olvidar,17,1,3,1,913584,6841727,2.02936E+11,0.003371372,,,
3386,Rihanna ,Consideration,50,0,60,0,219970,6839671,2.02936E+11,0.003370359,,,
3387,Drake ,Time Flies,14,0,11,0,1519691,6838861,2.02936E+11,0.00336996,,,
3388,Taylor Swift ,Soon You’ll Get Better,14,0,14,0,1323914,6833678,2.02936E+11,0.003367406,,,
3389,Lil Skies ,Bad Girls,20,0,35,0,678175,6832950,2.02936E+11,0.003367047,,,
3390,BLACKPINK ,Lovesick Girls,18,0,24,0,789737,6821378,2.02936E+11,0.003361345,,,
3391,Ab,Soul  Bloody Waters,21,0,37,0,586151,6818033,2.02936E+11,0.003359697,,,
3392,Kodak Black ,Take One,17,0,32,0,587513,6813799,2.02936E+11,0.00335761,,,
3393,R3HAB ,All Around The World (La La La),29,0,132,0,283461,6813283,2.02936E+11,0.003357356,,,
3394,Taylor Swift ,The Last Time,13,0,16,0,1454087,6806875,2.02936E+11,0.003354198,,,
3395,Ed Sheeran ,Best Part of Me,18,0,25,0,680848,6791414,2.02936E+11,0.00334658,,,
3396,Lil Uzi Vert ,Secure The Bag,13,0,19,0,1235135,6788157,2.02936E+11,0.003344975,,,
3397,Pharrell Williams ,Sangria Wine,22,0,49,0,510266,6787476,2.02936E+11,0.003344639,,,
3398,Thomas Rhett ,Beer Can’t Fix,29,0,102,0,289629,6783357,2.02936E+11,0.00334261,,,
3399,Harry Styles ,She,14,0,11,0,1149268,6777158,2.02936E+11,0.003339555,,,
3400,Taylor Swift ,Blank Space,28,0,82,0,357339,6772902,2.02936E+11,0.003337458,,,
3401,Taylor Swift ,Stay Stay Stay (Taylor's Version),13,0,14,0,1525721,6771360,2.02936E+11,0.003336698,,,
3402,Shawn Mendes ,Summer of Love (Shawn Mendes & Tainy),21,0,31,0,629930,6769563,2.02936E+11,0.003335812,,,
3403,Madison Beer ,Reckless,28,0,106,0,272408,6766983,2.02936E+11,0.003334541,,,
3404,Calvin Harris ,Stay With Me,22,0,24,0,541262,6764121,2.02936E+11,0.003333131,,,
3405,Disney Characters ,This Is Halloween,13,1,7,0,1421036,6761861,2.02936E+11,0.003332017,,,
3406,Maroon 5 ,Help Me Out,27,0,69,0,389509,6755839,2.02936E+11,0.00332905,,,
3407,Quavo ,LOSE IT,21,0,36,0,692141,6753152,2.02936E+11,0.003327726,,,
3408,Twenty One Pilots ,Chlorine,22,0,45,0,642510,6745948,2.02936E+11,0.003324176,,,
3409,CORPSE ,HOT DEMON B!TCHES NEAR U ! ! !,21,0,54,0,535262,6743949,2.02936E+11,0.003323191,,,
3410,A Boogie Wit da Hoodie ,Beast Mode,32,0,97,0,288526,6725402,2.02936E+11,0.003314051,,,
3411,SALES ,Pope Is a Rockstar,26,0,96,0,351475,6723372,2.02936E+11,0.003313051,,,
3412,Kendrick Lamar ,Auntie Diaries,9,0,14,0,2118488,6720794,2.02936E+11,0.003311781,,,
3413,Megan Thee Stallion ,B.I.T.C.H.,19,0,24,0,718139,6719384,2.02936E+11,0.003311086,,,
3414,Jack Harlow ,Face Of My City,22,0,58,0,668052,6716321,2.02936E+11,0.003309576,,,
3415,Lil Baby ,Heyy,19,0,15,0,804305,6707783,2.02936E+11,0.003305369,,,
3416,Ariana Grande ,west side,16,0,12,0,1350259,6706312,2.02936E+11,0.003304644,,,
3417,Chris Janson ,Buy Me a Boat,76,0,124,0,102683,6704670,2.02936E+11,0.003303835,,,
3418,Big Sean ,Living Single,35,0,82,0,262295,6704636,2.02936E+11,0.003303819,,,
3419,Taylor Swift ,Babe (Taylor's Version) (From The Vault),13,0,21,0,1354874,6695608,2.02936E+11,0.00329937,,,
3420,Bebe Rexha ,I'm Gonna Show You Crazy,71,0,46,0,155657,6695475,2.02936E+11,0.003299304,,,
3421,Justin Bieber ,Trust,37,0,40,0,373744,6695411,2.02936E+11,0.003299273,,,
3422,Lil Wayne ,Hittas,12,0,14,0,1715308,6691409,2.02936E+11,0.003297301,,,
3423,Tyga ,Girls Have Fun,24,0,42,0,562355,6690813,2.02936E+11,0.003297007,,,
3424,Fat Joe ,All The Way Up (Remix),48,0,122,0,169469,6683834,2.02936E+11,0.003293568,,,
3425,Nicki Minaj ,Yikes,19,0,34,0,584109,6680369,2.02936E+11,0.003291861,,,
3426,Lil Baby ,Detox,20,0,21,0,658631,6667618,2.02936E+11,0.003285577,,,
3427,Drake ,Desires,14,1,10,0,1623719,6659201,2.02936E+11,0.00328143,,,
3428,Travis Scott ,COFFEE BEAN,14,0,20,0,1393730,6657753,2.02936E+11,0.003280716,,,
3429,J Balvin ,No Es Justo,31,0,150,0,248954,6657065,2.02936E+11,0.003280377,,,
3430,Miley Cyrus ,Angels Like You,21,0,48,0,489423,6655190,2.02936E+11,0.003279453,,,
3431,Kendrick Lamar ,Mirror,11,0,18,0,1764818,6650338,2.02936E+11,0.003277062,,,
3432,Russ ,HANDSOMER,27,0,119,0,274173,6650180,2.02936E+11,0.003276984,,,
3433,KIDS SEE GHOSTS ,Freeee (Ghost Town Pt. 2),11,1,9,0,1117323,6647333,2.02936E+11,0.003275582,,,
3434,Dreamville ,Sunset,20,0,28,0,589376,6638688,2.02936E+11,0.003271322,,,
3435,Lil Wayne ,Believe Me,94,0,43,0,125989,6626497,2.02936E+11,0.003265314,,,
3436,XXXTENTACION ,before I close my eyes,21,0,39,0,659654,6624039,2.02936E+11,0.003264103,,,
3437,Twenty One Pilots ,Cancer,38,0,62,0,313968,6618097,2.02936E+11,0.003261175,,,
3438,Ed Sheeran ,Overpass Graffiti,15,1,9,0,860507,6613651,2.02936E+11,0.003258984,,,
3439,Kanye West ,Donda,11,0,16,0,1505125,6612289,2.02936E+11,0.003258313,,,
3440,Lil Nas X ,C7osure (You Like),18,0,42,0,476010,6611965,2.02936E+11,0.003258153,,,
3441,Brett Eldredge ,Lose My Mind,74,0,123,0,107946,6599148,2.02936E+11,0.003251838,,,
3442,Lil Tjay ,Hold On,28,0,61,0,405265,6594692,2.02936E+11,0.003249642,,,
3443,Taylor Swift ,Everything Has Changed,14,0,15,0,1481683,6588759,2.02936E+11,0.003246718,,,
3444,American Authors ,Best Day Of My Life,88,0,31,0,146197,6587611,2.02936E+11,0.003246153,,,
3445,Khalid ,Bad Luck,17,0,21,0,986069,6587095,2.02936E+11,0.003245898,,,
3446,Thomas Gold ,Magic,37,0,152,0,207569,6585848,2.02936E+11,0.003245284,,,
3447,Katy Perry ,Rise,42,0,97,0,222092,6577410,2.02936E+11,0.003241126,,,
3448,Mike WiLL Made,It  Nothing Is Promised,53,0,127,0,161585,6576150,2.02936E+11,0.003240505,,,
3449,Dillon Francis ,Coming Over,53,0,52,0,181256,6566791,2.02936E+11,0.003235893,,,
3450,Beyoncé ,SUMMER RENAISSANCE,14,0,14,0,999922,6565029,2.02936E+11,0.003235025,,,
3451,Bailey Zimmerman ,Where It Ends,20,0,24,0,579579,6558534,2.02936E+11,0.003231824,,,
3452,ScHoolboy Q ,THat Part  Black Hippy Remix,51,0,145,0,146128,6556937,2.02936E+11,0.003231037,,,
3453,Miley Cyrus ,Plastic Hearts,24,0,92,0,349811,6555700,2.02936E+11,0.003230428,,,
3454,Rosa Walton ,I Really Want to Stay at Your House,23,0,71,0,330238,6538766,2.02936E+11,0.003222083,,,
3455,Billie Eilish ,Billie Bossa Nova,16,1,9,0,948543,6534233,2.02936E+11,0.00321985,,,
3456,Waka Flocka Flame ,No Hands,32,0,146,0,262627,6533539,2.02936E+11,0.003219508,,,
3457,Why Don't We ,Big Plans,29,0,168,0,247481,6531972,2.02936E+11,0.003218736,,,
3458,Adele ,Woman Like Me,12,0,11,0,1422662,6525979,2.02936E+11,0.003215782,,,
3459,Meek Mill ,Blue Notes 2,22,0,50,0,591415,6522477,2.02936E+11,0.003214057,,,
3460,Baby Keem ,durag activity,19,0,12,0,803534,6520639,2.02936E+11,0.003213151,,,
3461,Machine Gun Kelly ,make up sex,19,1,2,1,768387,6517102,2.02936E+11,0.003211408,,,
3462,Troye Sivan ,WILD,58,0,56,0,178460,6516852,2.02936E+11,0.003211285,,,
3463,Russell Dickerson ,She Likes It,27,0,120,0,279707,6510051,2.02936E+11,0.003207934,,,
3464,Frank Ocean ,In My Room,20,0,34,0,531222,6501289,2.02936E+11,0.003203616,,,
3465,Lil Wayne ,Let It All Work Out,14,0,27,0,1145876,6492662,2.02936E+11,0.003199365,,,
3466,Stan Kenton ,Lonesome Train,18,0,61,0,456779,6491218,2.02936E+11,0.003198653,,,
3467,PARTYNEXTDOOR ,Break from Toronto,25,0,160,0,275277,6488141,2.02936E+11,0.003197137,,,
3468,KIDS SEE GHOSTS ,Cudi Montage,13,0,21,0,873982,6483502,2.02936E+11,0.003194851,,,
3469,Trippie Redd ,The Grinch,25,0,65,0,447861,6473354,2.02936E+11,0.003189851,,,
3470,Julia Michaels ,Uh Huh,34,0,93,0,291256,6458831,2.02936E+11,0.003182694,,,
3471,Sech ,Relación  Remix,30,0,124,0,252745,6457181,2.02936E+11,0.003181881,,,
3472,Money Man ,24,26,0,103,0,305320,6454983,2.02936E+11,0.003180798,,,
3473,Rita Ora ,Girls,24,0,54,0,552382,6451140,2.02936E+11,0.003178904,,,
3474,J. Cole ,everybody dies,31,0,36,0,448420,6442993,2.02936E+11,0.00317489,,,
3475,Billie Eilish ,Oxytocin,15,1,8,0,965078,6433796,2.02936E+11,0.003170358,,,
3476,Ariana Grande ,love language,15,0,13,0,1336669,6426584,2.02936E+11,0.003166804,,,
3477,Khalid ,Right Back,17,0,32,0,847871,6425188,2.02936E+11,0.003166116,,,
3478,Trippie Redd ,Sleepy Hollow,22,0,28,0,525865,6423238,2.02936E+11,0.003165155,,,
3479,lovelytheband ,broken,29,0,144,0,247894,6421237,2.02936E+11,0.003164169,,,
3480,KIDS SEE GHOSTS ,Fire,12,0,14,0,981233,6417561,2.02936E+11,0.003162358,,,
3481,Mac Miller ,Dang!,38,0,57,0,332519,6414655,2.02936E+11,0.003160926,,,
3482,Khalid ,Vertigo,14,1,10,0,1184701,6407208,2.02936E+11,0.003157256,,,
3483,Taylor Swift ,Forever Winter (Taylor's Version) (From The Vault),13,0,26,0,1177011,6405264,2.02936E+11,0.003156298,,,
3484,Lil Wayne ,Open Safe,12,0,15,0,1537167,6404831,2.02936E+11,0.003156085,,,
3485,Bazzi ,No Way!,23,0,35,0,518502,6396962,2.02936E+11,0.003152207,,,
3486,DJ Drama ,Wishing,49,0,137,0,150385,6391988,2.02936E+11,0.003149756,,,
3487,Demi Lovato ,Sober,23,0,38,0,538769,6388740,2.02936E+11,0.003148156,,,
3488,Saweetie ,Tap In,22,0,25,0,627270,6386527,2.02936E+11,0.003147065,,,
3489,Huncho Jack ,Eye 2 Eye,20,1,4,0,1151239,6386506,2.02936E+11,0.003147055,,,
3490,The Lumineers ,Ho Hey,102,0,118,0,229975,6386180,2.02936E+11,0.003146894,,,
3491,Kendrick Lamar ,Savior  Interlude,9,0,16,0,2018189,6380466,2.02936E+11,0.003144078,,,
3492,The Weeknd ,I Heard You’re Married,12,0,11,0,1248711,6362525,2.02936E+11,0.003135238,,,
3493,Adele ,Hold On,12,0,12,0,1368804,6361232,2.02936E+11,0.003134601,,,
3494,Harry Styles ,To Be So Lonely,13,0,12,0,1141216,6355344,2.02936E+11,0.003131699,,,
3495,Mac Miller ,Everybody,12,0,14,0,1413408,6352584,2.02936E+11,0.003130339,,,
3496,Future ,Thought It Was a Drought,66,0,62,0,141850,6341927,2.02936E+11,0.003125088,,,
3497,Juice WRLD ,Anxiety  Intro,11,0,11,0,2265094,6337434,2.02936E+11,0.003122874,,,
3498,Billie Eilish ,Getting Older,15,1,6,0,1047925,6337096,2.02936E+11,0.003122707,,,
3499,Chance the Rapper ,Mixtape,36,0,77,0,256868,6327740,2.02936E+11,0.003118097,,,
3500,Mac Miller ,Cinderella,41,0,91,0,296266,6322566,2.02936E+11,0.003115547,,,
3501,Missy Elliott ,WTF (Where They From),53,0,58,0,317253,6320355,2.02936E+11,0.003114458,,,
3502,Yeat ,Out thë way,20,0,59,0,414374,6317439,2.02936E+11,0.003113021,,,
3503,Lil Nas X ,DEAD RIGHT NOW,14,0,11,0,1183514,6307634,2.02936E+11,0.003108189,,,
3504,Kanye West ,Come to Life,12,0,23,0,1156493,6304916,2.02936E+11,0.00310685,,,
3505,Drake ,30 for 30 Freestyle,44,0,46,0,245066,6299342,2.02936E+11,0.003104103,,,
3506,Justin Bieber ,2 Much,15,1,5,0,1232023,6293187,2.02936E+11,0.00310107,,,
3507,Bad Bunny ,25/8,16,0,40,0,673546,6285234,2.02936E+11,0.003097151,,,
3508,HARDY ,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",29,0,143,0,263965,6283970,2.02936E+11,0.003096528,,,
3509,Post Malone ,Congratulations  Remix,30,0,90,0,267572,6281504,2.02936E+11,0.003095313,,,
3510,Fetty Wap ,679,56,0,65,0,203291,6267447,2.02936E+11,0.003088387,,,
3511,Grey ,I Miss You,32,0,131,0,232188,6264590,2.02936E+11,0.003086979,,,
3512,Fleetwood Mac ,The Chain  2004 Remaster,27,0,82,0,311232,6263753,2.02936E+11,0.003086566,,,
3513,XXXTENTACION ,what are you so afraid of,13,0,13,0,1325891,6260266,2.02936E+11,0.003084848,,,
3514,Post Malone ,I Cannot Be (A Sadder Song),13,1,10,0,1196999,6254244,2.02936E+11,0.003081881,,,
3515,Beyoncé ,VIRGO'S GROOVE,15,0,13,0,1045597,6252395,2.02936E+11,0.003080969,,,
3516,Taylor Swift ,Holy Ground (Taylor's Version),12,0,19,0,1382906,6249994,2.02936E+11,0.003079786,,,
3517,Alessia Cara ,Out Of Love,21,0,78,0,342827,6233301,2.02936E+11,0.003071561,,,
3518,Kendrick Lamar ,untitled 07 | 2014  2016,27,0,11,0,733030,6222163,2.02936E+11,0.003066072,,,
3519,Mike Posner ,Please Don't Go,25,0,93,0,298199,6217971,2.02936E+11,0.003064006,,,
3520,Joji ,YUKON (INTERLUDE),15,0,23,0,704273,6214933,2.02936E+11,0.003062509,,,
3521,Lauv ,Modern Loneliness,21,0,75,0,430775,6206504,2.02936E+11,0.003058356,,,
3522,Taylor Swift ,Daylight,14,0,22,0,1020714,6201194,2.02936E+11,0.003055739,,,
3523,Tony Bennett ,O Christmas Tree,16,0,60,0,678152,6194394,2.02936E+11,0.003052388,,,
3524,Tyga ,VACATION,14,1,7,0,730380,6189355,2.02936E+11,0.003049905,,,
3525,Yo Gotti ,Law,48,0,137,0,145443,6187717,2.02936E+11,0.003049098,,,
3526,A Boogie Wit da Hoodie ,Me and My Guitar,20,0,53,0,589849,6182324,2.02936E+11,0.003046441,,,
3527,Ariana Grande ,Bad To You,17,0,23,0,691732,6174911,2.02936E+11,0.003042788,,,
3528,Migos ,Give No Fxk,13,1,6,0,1322389,6148659,2.02936E+11,0.003029852,,,
3529,"Tyler, The Creator ",OKRA,21,0,54,0,458497,6147778,2.02936E+11,0.003029418,,,
3530,Meghan Trainor ,I'll Be Home,21,0,78,0,541670,6143435,2.02936E+11,0.003027278,,,
3531,Justin Bieber ,Deserve You,15,1,6,0,1137169,6135863,2.02936E+11,0.003023546,,,
3532,Drake ,Flight's Booked,10,0,11,0,1832009,6133830,2.02936E+11,0.003022545,,,
3533,Kanye West ,Lord I Need You,12,0,22,0,1180806,6131048,2.02936E+11,0.003021174,,,
3534,"Tyler, The Creator ",RUNITUP,13,0,13,0,1451079,6129691,2.02936E+11,0.003020505,,,
3535,Logic ,State Of Emergency,15,0,23,0,965420,6127724,2.02936E+11,0.003019536,,,
3536,Shakira ,Clandestino,28,0,126,0,284121,6107582,2.02936E+11,0.00300961,,,
3537,Future ,I'M DAT N****,11,4,5,0,1468597,6106715,2.02936E+11,0.003009183,,,
3538,ROSALÍA ,LA FAMA,19,0,60,0,595802,6103557,2.02936E+11,0.003007627,,,
3539,DJ Khaled ,Celebrate,14,0,26,0,805870,6100149,2.02936E+11,0.003005948,,,
3540,Kanye West ,Jesus Is Lord,11,0,15,0,1327680,6076336,2.02936E+11,0.002994213,,,
3541,Young Dolph ,1 Scale,24,0,32,0,510862,6067976,2.02936E+11,0.002990094,,,
3542,XXXTENTACION ,Dead Inside (Interlude),21,0,58,0,486744,6064315,2.02936E+11,0.00298829,,,
3543,Morgan Wallen ,Whiskey’d My Way,19,0,23,0,669283,6062385,2.02936E+11,0.002987339,,,
3544,Metro Boomin ,No More,14,0,21,0,821151,6062115,2.02936E+11,0.002987206,,,
3545,AC/DC ,Highway to Hell,19,0,29,0,568792,6056885,2.02936E+11,0.002984629,,,
3546,The Script ,Superheroes,82,0,49,0,130024,6053850,2.02936E+11,0.002983133,,,
3547,Ty Dolla $ign ,Ego Death,22,0,47,0,508746,6046708,2.02936E+11,0.002979614,,,
3548,Post Malone ,Reputation,12,1,5,0,1337319,6034820,2.02936E+11,0.002973756,,,
3549,Morgan Wallen ,Your Bartender,19,0,28,0,639315,6031746,2.02936E+11,0.002972241,,,
3550,Lil Yachty ,Who Want The Smoke?,22,0,74,0,396103,6028079,2.02936E+11,0.002970434,,,
3551,Luke Bryan ,Play It Again,100,0,99,0,81204,6023702,2.02936E+11,0.002968277,,,
3552,Bo Burnham ,Goodbye,25,0,104,0,345145,6018930,2.02936E+11,0.002965926,,,
3553,Kacey Musgraves ,breadwinner,23,0,68,0,414186,6017410,2.02936E+11,0.002965177,,,
3554,Justin Bieber ,Die For You,15,0,14,0,1012774,6015346,2.02936E+11,0.00296416,,,
3555,Drake ,Company,39,0,25,0,304996,6003757,2.02936E+11,0.002958449,,,
3556,Justin Bieber ,All In It,35,0,48,0,350540,6000754,2.02936E+11,0.002956969,,,
3557,YG ,Stop Snitchin,23,0,64,0,440072,5995743,2.02936E+11,0.0029545,,,
3558,YG ,Scared Money,23,0,72,0,340053,5987662,2.02936E+11,0.002950518,,,
3559,Madison Beer ,Home With You,27,0,125,0,272440,5980508,2.02936E+11,0.002946993,,,
3560,"Tyler, The Creator ",MASSA,12,0,11,0,1545101,5979822,2.02936E+11,0.002946655,,,
3561,Gorillaz ,New Gold,16,0,14,0,712415,5968030,2.02936E+11,0.002940844,,,
3562,Frank Ocean ,Ivy,37,0,85,0,254698,5964914,2.02936E+11,0.002939308,,,
3563,Mike WiLL Made,It  Aries (YuGo),26,0,133,0,275068,5964795,2.02936E+11,0.00293925,,,
3564,Ariana Grande ,test drive,14,2,5,0,935109,5962784,2.02936E+11,0.002938259,,,
3565,Childish Gambino ,Sober,83,0,42,0,142368,5962096,2.02936E+11,0.00293792,,,
3566,Paramore ,Hard Times,25,0,54,0,446681,5954977,2.02936E+11,0.002934412,,,
3567,Regard ,You,24,0,65,0,370069,5943039,2.02936E+11,0.002928529,,,
3568,Zacari ,Redemption,20,0,49,0,468412,5942047,2.02936E+11,0.00292804,,,
3569,Trippie Redd ,Weeeeee,21,0,40,0,539594,5938848,2.02936E+11,0.002926464,,,
3570,Machine Gun Kelly ,love race,18,0,20,0,683389,5932469,2.02936E+11,0.002923321,,,
3571,YoungBoy Never Broke Again ,No Smoke,30,0,104,0,263456,5929695,2.02936E+11,0.002921954,,,
3572,Future ,Feed Me Dope,17,0,34,0,546073,5928699,2.02936E+11,0.002921463,,,
3573,Bad Bunny ,A Tu Merced,15,0,39,0,679037,5918004,2.02936E+11,0.002916193,,,
3574,One Direction ,What a Feeling,30,0,25,0,476488,5916464,2.02936E+11,0.002915434,,,
3575,Fitz and The Tantrums ,Out of My League,27,0,179,0,233038,5910355,2.02936E+11,0.002912424,,,
3576,A$AP Rocky ,Cocky,21,0,53,0,505254,5907144,2.02936E+11,0.002910841,,,
3577,Moneybagg Yo ,Shottas (Lala),21,0,36,0,447846,5906644,2.02936E+11,0.002910595,,,
3578,Sofía Reyes ,R.I.P.,15,0,55,0,448993,5906535,2.02936E+11,0.002910541,,,
3579,ROSÉ ,On The Ground,21,0,43,0,413154,5904499,2.02936E+11,0.002909538,,,
3580,Sia ,Santa's Coming For Us,16,0,84,0,556922,5901045,2.02936E+11,0.002907836,,,
3581,Jess Glynne ,I'll Be There,25,0,108,0,303189,5898471,2.02936E+11,0.002906568,,,
3582,Rainbow Kitten Surprise ,It's Called: Freefall,24,0,78,0,273917,5896253,2.02936E+11,0.002905475,,,
3583,Leona Lewis ,One More Sleep,16,0,90,0,611545,5883283,2.02936E+11,0.002899083,,,
3584,The Weeknd ,Starry Eyes,12,0,12,0,1204379,5839614,2.02936E+11,0.002877565,,,
3585,Kygo ,Think About You,15,0,57,0,499716,5838909,2.02936E+11,0.002877217,,,
3586,The Weeknd ,Angel,40,0,33,0,294896,5836952,2.02936E+11,0.002876253,,,
3587,Morgan Wallen ,Outlaw,18,0,21,0,684827,5831594,2.02936E+11,0.002873613,,,
3588,Ed Sheeran ,Merry Christmas,14,0,59,0,853346,5828241,2.02936E+11,0.002871961,,,
3589,Frank Ocean ,DHL,15,1,4,0,900608,5826875,2.02936E+11,0.002871287,,,
3590,Meek Mill ,Froze,34,0,63,0,243933,5822747,2.02936E+11,0.002869253,,,
3591,Kendrick Lamar ,untitled 03 | 05.28.2013.,23,1,5,0,914049,5816603,2.02936E+11,0.002866226,,,
3592,Bring Me The Horizon ,Can You Feel My Heart,24,0,91,0,274730,5816221,2.02936E+11,0.002866038,,,
3593,The Weeknd ,Dawn FM,10,1,3,1,1749943,5795533,2.02936E+11,0.002855843,,,
3594,2 Chainz ,PROUD,24,0,81,0,377892,5795452,2.02936E+11,0.002855803,,,
3595,Taylor Swift ,Only The Young  Featured in Miss Americana,15,0,50,0,488959,5795326,2.02936E+11,0.002855741,,,
3596,Drake ,Summers Over Interlude,32,0,68,0,285542,5792931,2.02936E+11,0.002854561,,,
3597,Darlene Love ,Winter Wonderland,14,0,65,0,883339,5786558,2.02936E+11,0.002851421,,,
3598,Bryson Tiller ,Let Em' Know,54,0,134,0,122890,5785526,2.02936E+11,0.002850912,,,
3599,Troye Sivan ,Dance To This,21,0,51,0,491479,5783943,2.02936E+11,0.002850132,,,
3600,Polo G ,Black Hearted,14,0,14,0,1008735,5783782,2.02936E+11,0.002850053,,,
3601,Kanye West ,Highlights,29,0,48,0,323918,5783610,2.02936E+11,0.002849968,,,
3602,Lil Wayne ,Took His Time,10,0,16,0,1497655,5779819,2.02936E+11,0.0028481,,,
3603,Bad Bunny ,YO VISTO ASÍ,13,1,9,0,889672,5778148,2.02936E+11,0.002847276,,,
3604,The Weeknd ,Repeat After Me (Interlude),13,0,14,0,1192133,5777780,2.02936E+11,0.002847095,,,
3605,Bad Bunny ,La Zona,14,0,29,0,775612,5774822,2.02936E+11,0.002845638,,,
